Brand,Vehicle,Vehicle Type,Engine Size(L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
MERCEDES-BENZ,MERCEDES-BENZ ML 63 AMG 4MATIC,SUV - STANDARD,5.5,8,Z,17.3,13.5,15.6,18,359
MERCEDES-BENZ,MERCEDES-BENZ S 400 4MATIC,MID-SIZE,4.7,6,Z,12.6,8.6,10.8,26,248
MERCEDES-BENZ,MERCEDES-BENZ S 550 4MATIC COUPE,COMPACT,4.7,8,Z,14.4,9.8,12.3,23,283
MERCEDES-BENZ,MERCEDES-BENZ S 550 4MATIC LWB,FULL-SIZE,4.7,8,Z,14.8,9.8,12.5,23,288
MERCEDES-BENZ,MERCEDES-BENZ S 550 4MATIC SWB,MID-SIZE,4.7,8,Z,14.7,9.1,12.2,23,281
MERCEDES-BENZ,MERCEDES-BENZ S 600,FULL-SIZE,6,12,Z,18.1,11,14.9,19,343
MERCEDES-BENZ,MERCEDES-BENZ S 63 AMG 4MATIC,FULL-SIZE,5.5,8,Z,15.7,10.1,13.2,21,304
MERCEDES-BENZ,MERCEDES-BENZ S 63 AMG COUPE,COMPACT,5.5,8,Z,15.7,10.1,13.2,21,304
MERCEDES-BENZ,MERCEDES-BENZ S 65 AMG,FULL-SIZE,6,12,Z,18.5,11.8,15.5,18,357
MERCEDES-BENZ,MERCEDES-BENZ S 65 AMG COUPE,COMPACT,6,12,Z,18,11.3,15,19,345
MERCEDES-BENZ,MERCEDES-BENZ SL 550,TWO-SEATER,4.7,8,Z,13.8,9.5,11.9,24,274
MERCEDES-BENZ,MERCEDES-BENZ SL 63 AMG,TWO-SEATER,5.5,8,Z,14.7,9.5,12.4,23,285
MERCEDES-BENZ,MERCEDES-BENZ SL 65 AMG,TWO-SEATER,6,12,Z,16.7,11.2,14.2,20,327
MERCEDES-BENZ,MERCEDES-BENZ SLK 250,TWO-SEATER,1.8,4,Z,10.4,7.2,9,31,207
MERCEDES-BENZ,MERCEDES-BENZ SLK 250,TWO-SEATER,1.8,4,Z,10.4,7.2,9,31,207
MERCEDES-BENZ,MERCEDES-BENZ SLK 350,TWO-SEATER,3.5,6,Z,11.1,8.1,9.8,29,225
MERCEDES-BENZ,MERCEDES-BENZ SLK 55 AMG,TWO-SEATER,5.5,8,Z,12.4,8.5,10.6,27,244
MERCEDES-BENZ,MERCEDES-BENZ SLS AMG GT COUPE,TWO-SEATER,6.2,8,Z,18.1,12.6,15.6,18,359
MERCEDES-BENZ,MERCEDES-BENZ SLS AMG GT ROADSTER,TWO-SEATER,6.2,8,Z,18.1,12.6,15.6,18,359
MINI,MINI COOPER 3 DOOR,SUBCOMPACT,1.5,3,Z,8.5,6.3,7.5,38,172
MINI,MINI COOPER 3 DOOR,SUBCOMPACT,1.5,3,Z,8.1,5.9,7.1,40,163
MINI,MINI COOPER 5 DOOR,SUBCOMPACT,1.5,3,Z,8.5,6.3,7.5,38,172
MINI,MINI COOPER 5 DOOR,SUBCOMPACT,1.5,3,Z,8.2,5.9,7.2,39,166
MINI,MINI COOPER CONVERTIBLE,MINICOMPACT,1.6,4,Z,8.6,6.5,7.7,37,177
MINI,MINI COOPER CONVERTIBLE,MINICOMPACT,1.6,4,Z,8.4,6.4,7.5,38,172
MINI,MINI COOPER COUNTRYMAN,COMPACT,1.6,4,Z,9.4,7.9,8.7,32,200
MINI,MINI COOPER COUNTRYMAN,COMPACT,1.6,4,Z,8.4,6.4,7.5,38,172
MINI,MINI COOPER COUPE,TWO-SEATER,1.6,4,Z,8.5,6.5,7.6,37,175
MINI,MINI COOPER COUPE,TWO-SEATER,1.6,4,Z,8,6.4,7.3,39,168
MINI,MINI COOPER PACEMAN,COMPACT,1.6,4,Z,9.4,7.9,8.7,32,200
MINI,MINI COOPER PACEMAN,COMPACT,1.6,4,Z,8.4,6.4,7.5,38,172
MINI,MINI COOPER ROADSTER,TWO-SEATER,1.6,4,Z,8.6,6.5,7.7,37,177
MINI,MINI COOPER ROADSTER,TWO-SEATER,1.6,4,Z,8.4,6.4,7.5,38,172
MINI,MINI COOPER S 3 DOOR,SUBCOMPACT,2,4,Z,9.2,7,8.2,34,189
MINI,MINI COOPER S 3 DOOR,SUBCOMPACT,2,4,Z,10,7,8.6,33,198
MINI,MINI COOPER S 5 DOOR,SUBCOMPACT,2,4,Z,9.2,7,8.2,34,189
MINI,MINI COOPER S 5 DOOR,SUBCOMPACT,2,4,Z,10,7,8.6,33,198
MINI,MINI COOPER S CONVERTIBLE,MINICOMPACT,1.6,4,Z,9.2,6.8,8.1,35,186
MINI,MINI COOPER S CONVERTIBLE,MINICOMPACT,1.6,4,Z,9.1,6.8,8.1,35,186
MINI,MINI COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,Z,10.1,7.8,9,31,207
MINI,MINI COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,Z,9.5,7.7,8.7,32,200
MINI,MINI COOPER S COUPE,TWO-SEATER,1.6,4,Z,9.2,6.8,8.1,35,186
MINI,MINI COOPER S COUPE,TWO-SEATER,1.6,4,Z,9.1,6.8,8.1,35,186
MINI,MINI COOPER S PACEMAN ALL4,COMPACT,1.6,4,Z,10.1,7.8,9,31,207
MINI,MINI COOPER S PACEMAN ALL4,COMPACT,1.6,4,Z,9.5,7.7,8.7,32,200
MINI,MINI COOPER S ROADSTER,TWO-SEATER,1.6,4,Z,9.2,6.8,8.1,35,186
MINI,MINI COOPER S ROADSTER,TWO-SEATER,1.6,4,Z,9.1,6.8,8.1,35,186
MINI,MINI JOHN COOPER WORKS,SUBCOMPACT,2,4,Z,9.3,7.3,8.4,34,193
MINI,MINI JOHN COOPER WORKS,SUBCOMPACT,2,4,Z,10.4,7.7,9.2,31,212
MINI,MINI JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,Z,9.2,6.8,8.1,35,186
MINI,MINI JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,Z,9.1,6.8,8.1,35,186
MINI,MINI JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,Z,10.1,7.8,9,31,207
MINI,MINI JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,Z,9.5,7.7,8.7,32,200
MINI,MINI JOHN COOPER WORKS COUPE,TWO-SEATER,1.6,4,Z,9.2,6.8,8.1,35,186
MINI,MINI JOHN COOPER WORKS COUPE,TWO-SEATER,1.6,4,Z,9.1,6.8,8.1,35,186
MINI,MINI JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,Z,10.1,7.8,9,31,207
MINI,MINI JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,Z,9.5,7.7,8.7,32,200
MINI,MINI JOHN COOPER WORKS ROADSTER,TWO-SEATER,1.6,4,Z,9.2,6.8,8.1,35,186
MINI,MINI JOHN COOPER WORKS ROADSTER,TWO-SEATER,1.6,4,Z,9.1,6.8,8.1,35,186
MITSUBISHI,MITSUBISHI LANCER,COMPACT,2,4,X,9.2,6.9,8.2,34,189
MITSUBISHI,MITSUBISHI LANCER,COMPACT,2,4,X,9.6,6.9,8.4,34,193
MITSUBISHI,MITSUBISHI LANCER AWD,COMPACT,2.4,4,X,10.5,8.2,9.5,30,219
MITSUBISHI,MITSUBISHI LANCER EVOLUTION,COMPACT,2,4,Z,14.2,10.5,12.5,23,288
MITSUBISHI,MITSUBISHI LANCER EVOLUTION,COMPACT,2,4,Z,14,10.3,12.3,23,283
MITSUBISHI,MITSUBISHI LANCER RALLIART,COMPACT,2,4,Z,13.4,9.4,11.6,24,267
MITSUBISHI,MITSUBISHI LANCER SPORTBACK,STATION WAGON - SMALL,2,4,X,9.6,7.3,8.6,33,198
MITSUBISHI,MITSUBISHI LANCER SPORTBACK,STATION WAGON - SMALL,2,4,X,9.8,7.1,8.6,33,198
MITSUBISHI,MITSUBISHI MIRAGE,COMPACT,1.2,3,X,6.4,5.3,5.9,48,136
MITSUBISHI,MITSUBISHI MIRAGE,COMPACT,1.2,3,X,7,5.5,6.4,44,147
MITSUBISHI,MITSUBISHI OUTLANDER,SUV - SMALL,2.4,4,X,9.5,7.5,8.6,33,198
MITSUBISHI,MITSUBISHI OUTLANDER 4WD,SUV - SMALL,2.4,4,X,9.9,8.1,9.1,31,209
MITSUBISHI,MITSUBISHI OUTLANDER 4WD,SUV - SMALL,3,6,Z,11.5,8.4,10.1,28,232
MITSUBISHI,MITSUBISHI RVR,SUV - SMALL,2,4,X,9.3,7.3,8.4,34,193
MITSUBISHI,MITSUBISHI RVR,SUV - SMALL,2,4,X,9.9,7.6,8.8,32,202
MITSUBISHI,MITSUBISHI RVR 4WD,SUV - SMALL,2,4,X,9.6,7.7,8.8,32,202
MITSUBISHI,MITSUBISHI RVR 4WD,SUV - SMALL,2.4,4,X,10.4,8.5,9.6,29,221
NISSAN,NISSAN 370Z COUPE,TWO-SEATER,3.7,6,Z,12.6,9.2,11.1,25,255
NISSAN,NISSAN 370Z COUPE,TWO-SEATER,3.7,6,Z,13.3,9.3,11.5,25,264
NISSAN,NISSAN 370Z ROADSTER,TWO-SEATER,3.7,6,Z,13,9.6,11.5,25,264
NISSAN,NISSAN 370Z ROADSTER,TWO-SEATER,3.7,6,Z,13.6,9.7,11.8,24,271
NISSAN,NISSAN ALTIMA,MID-SIZE,2.5,4,X,8.7,6.2,7.6,37,175
NISSAN,NISSAN ALTIMA,MID-SIZE,3.5,6,X,10.3,7.4,9,31,207
NISSAN,NISSAN ARMADA 4WD,SUV - STANDARD,5.6,8,X,19.2,13.4,16.6,17,382
NISSAN,NISSAN FRONTIER,PICKUP TRUCK - SMALL,2.5,4,X,13.7,10.6,12.3,23,283
NISSAN,NISSAN FRONTIER,PICKUP TRUCK - SMALL,2.5,4,X,12.2,10.2,11.3,25,260
NISSAN,NISSAN FRONTIER,PICKUP TRUCK - SMALL,4,6,X,14.8,10.3,12.7,22,292
NISSAN,NISSAN FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,X,15.7,11.3,13.7,21,315
NISSAN,NISSAN FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,X,15,11.2,13.3,21,306
NISSAN,NISSAN GT-R,SUBCOMPACT,3.8,6,Z,14.3,10.5,12.6,22,290
NISSAN,NISSAN JUKE,STATION WAGON - SMALL,1.6,4,X,8.5,7.2,7.9,36,182
NISSAN,NISSAN JUKE,STATION WAGON - SMALL,1.6,4,X,8.4,6.9,7.7,37,177
NISSAN,NISSAN JUKE AWD,STATION WAGON - SMALL,1.6,4,X,8.8,7.5,8.2,34,189
NISSAN,NISSAN JUKE NISMO RS,STATION WAGON - SMALL,1.6,4,Z,8.9,7.5,8.3,34,191
NISSAN,NISSAN JUKE NISMO RS AWD,STATION WAGON - SMALL,1.6,4,Z,9.4,8.1,8.8,32,202
NISSAN,NISSAN MICRA,COMPACT,1.6,4,X,8.8,6.6,7.8,36,179
NISSAN,NISSAN MICRA,COMPACT,1.6,4,X,8.6,6.6,7.7,37,177
NISSAN,NISSAN MURANO,STATION WAGON - MID-SIZE,3.5,6,X,11,8.2,9.8,29,225
NISSAN,NISSAN MURANO AWD,STATION WAGON - MID-SIZE,3.5,6,X,11.2,8.3,9.9,29,228
NISSAN,NISSAN NV200 CARGO VAN,SPECIAL PURPOSE VEHICLE,2,4,X,9.7,9,9.4,30,216
NISSAN,NISSAN PATHFINDER,SUV - SMALL,3.5,6,X,11.9,8.6,10.4,27,239
NISSAN,NISSAN PATHFINDER 4WD,SUV - SMALL,3.5,6,X,12.1,8.9,10.7,26,246
NISSAN,NISSAN PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6,X,12.7,9,11,26,253
NISSAN,NISSAN PATHFINDER HYBRID 4WD,SUV - STANDARD,2.5,4,X,9.1,8.5,8.8,32,202
NISSAN,NISSAN QUEST,MINIVAN,3.5,6,X,12,8.7,10.5,27,242
NISSAN,NISSAN ROGUE,SUV - SMALL,2.5,4,X,9.2,7.2,8.3,34,191
NISSAN,NISSAN ROGUE AWD,SUV - SMALL,2.5,4,X,9.5,7.4,8.5,33,196
NISSAN,NISSAN TITAN,PICKUP TRUCK - STANDARD,5.6,8,X,18.4,13.3,16.1,18,370
NISSAN,NISSAN TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,X,19.7,14.3,17.2,16,396
NISSAN,NISSAN SENTRA,MID-SIZE,1.8,4,X,8,6.1,7.2,39,166
NISSAN,NISSAN SENTRA,MID-SIZE,1.8,4,X,8.9,6.6,7.9,36,182
NISSAN,NISSAN VERSA,COMPACT,1.6,4,X,7.5,6,6.8,42,156
NISSAN,NISSAN VERSA,COMPACT,1.6,4,X,8.6,6.5,7.7,37,177
NISSAN,NISSAN XTERRA 4WD,SUV - SMALL,4,6,X,16,12,14.2,20,327
NISSAN,NISSAN XTERRA 4WD,SUV - SMALL,4,6,X,16,12.3,14.4,20,331
PORSCHE,PORSCHE 911 CARRERA,MINICOMPACT,3.4,6,Z,11.6,8.4,10.1,28,232
PORSCHE,PORSCHE 911 CARRERA,MINICOMPACT,3.4,6,Z,12.3,8.6,10.6,27,244
PORSCHE,PORSCHE 911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,Z,11.5,8.3,10.1,28,232
PORSCHE,PORSCHE 911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,Z,12.3,8.7,10.7,26,246
PORSCHE,PORSCHE 911 CARRERA 4,MINICOMPACT,3.4,6,Z,11.6,8.5,10.2,28,235
PORSCHE,PORSCHE 911 CARRERA 4,MINICOMPACT,3.4,6,Z,12.3,8.7,10.7,26,246
PORSCHE,PORSCHE 911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6,Z,11.9,8.7,10.5,27,242
PORSCHE,PORSCHE 911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6,Z,12.5,9,10.9,26,251
PORSCHE,PORSCHE 911 CARRERA 4 GTS,MINICOMPACT,3.8,6,Z,12.6,9.2,11.1,25,255
PORSCHE,PORSCHE 911 CARRERA 4 GTS,MINICOMPACT,3.8,6,Z,13,9.2,11.3,25,260
PORSCHE,PORSCHE 911 CARRERA 4 GTS CABRIOLET,MINICOMPACT,3.8,6,Z,13.1,9.4,11.4,25,262
PORSCHE,PORSCHE 911 CARRERA 4 GTS CABRIOLET,MINICOMPACT,3.8,6,Z,13.4,9.3,11.6,24,267
PORSCHE,PORSCHE 911 CARRERA 4S,MINICOMPACT,3.8,6,Z,12.2,8.9,10.7,26,246
PORSCHE,PORSCHE 911 CARRERA 4S,MINICOMPACT,3.8,6,Z,12.6,8.9,11,26,253
PORSCHE,PORSCHE 911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6,Z,12.5,9,11,26,253
PORSCHE,PORSCHE 911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6,Z,12.9,9.2,11.2,25,258
PORSCHE,PORSCHE 911 CARRERA GTS,MINICOMPACT,3.8,6,Z,12.6,9,11,26,253
PORSCHE,PORSCHE 911 CARRERA GTS,MINICOMPACT,3.8,6,Z,12.9,9,11.2,25,258
PORSCHE,PORSCHE 911 CARRERA GTS CABRIOLET,MINICOMPACT,3.8,6,Z,12.6,9.2,11.1,25,255
PORSCHE,PORSCHE 911 CARRERA GTS CABRIOLET,MINICOMPACT,3.8,6,Z,13.4,9.3,11.6,24,267
PORSCHE,PORSCHE 911 CARRERA S,MINICOMPACT,3.8,6,Z,11.9,8.7,10.5,27,242
PORSCHE,PORSCHE 911 CARRERA S,MINICOMPACT,3.8,6,Z,12.4,8.7,10.7,26,246
PORSCHE,PORSCHE 911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6,Z,12.2,8.7,10.6,27,244
PORSCHE,PORSCHE 911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6,Z,12.5,8.9,10.9,26,251
PORSCHE,PORSCHE 911 GT3,TWO-SEATER,3.8,6,Z,16,11.5,14,20,322
PORSCHE,PORSCHE 911 TARGA 4,MINICOMPACT,3.4,6,Z,12.3,8.9,10.8,26,248
PORSCHE,PORSCHE 911 TARGA 4,MINICOMPACT,3.4,6,Z,12.9,9,11.1,25,255
PORSCHE,PORSCHE 911 TARGA 4S,MINICOMPACT,3.8,6,Z,12.8,9.3,11.2,25,258
PORSCHE,PORSCHE 911 TARGA 4S,MINICOMPACT,3.8,6,Z,13.1,9.2,11.4,25,262
PORSCHE,PORSCHE 911 TURBO,MINICOMPACT,3.8,6,Z,13.7,9.6,11.9,24,274
PORSCHE,PORSCHE 911 TURBO CABRIOLET,MINICOMPACT,3.8,6,Z,13.7,9.6,11.9,24,274
PORSCHE,PORSCHE 911 TURBO S,MINICOMPACT,3.8,6,Z,13.7,9.6,11.9,24,274
PORSCHE,PORSCHE 911 TURBO S CABRIOLET,MINICOMPACT,3.8,6,Z,13.7,9.6,11.9,24,274
PORSCHE,PORSCHE BOXSTER,TWO-SEATER,2.7,6,Z,10.7,7.4,9.2,31,212
PORSCHE,PORSCHE BOXSTER,TWO-SEATER,2.7,6,Z,11.5,7.9,9.9,29,228
PORSCHE,PORSCHE BOXSTER GTS,TWO-SEATER,3.4,6,Z,10.9,7.7,9.5,30,218
PORSCHE,PORSCHE BOXSTER GTS,TWO-SEATER,3.4,6,Z,12.1,8.9,10.7,26,246
PORSCHE,PORSCHE BOXSTER S,TWO-SEATER,3.4,6,Z,11.3,7.9,9.8,29,225
PORSCHE,PORSCHE BOXSTER S,TWO-SEATER,3.4,6,Z,11.9,8.6,10.4,27,239
PORSCHE,PORSCHE CAYENNE DIESEL (modified),SUV - STANDARD,3,6,D,11.8,8.1,10.2,28,277
PORSCHE,PORSCHE CAYENNE S,SUV - STANDARD,3.6,6,Z,14.3,9.6,12.2,23,286
PORSCHE,PORSCHE CAYENNE TURBO,SUV - STANDARD,4.8,8,Z,16.7,11.2,14.2,20,327
PORSCHE,PORSCHE CAYMAN,TWO-SEATER,2.7,6,Z,10.7,7.4,9.2,31,212
PORSCHE,PORSCHE CAYMAN,TWO-SEATER,2.7,6,Z,11.5,7.9,9.9,29,228
PORSCHE,PORSCHE CAYMAN GTS,TWO-SEATER,3.4,6,Z,10.9,7.7,9.5,30,218
PORSCHE,PORSCHE CAYMAN GTS,TWO-SEATER,3.4,6,Z,12.1,8.9,10.7,26,246
PORSCHE,PORSCHE CAYMAN S,TWO-SEATER,3.4,6,Z,11.3,7.9,9.8,29,225
PORSCHE,PORSCHE CAYMAN S,TWO-SEATER,3.4,6,Z,11.9,8.6,10.4,27,239
PORSCHE,PORSCHE MACAN S,SUV - SMALL,3,6,Z,13.7,10.3,12.2,23,281
PORSCHE,PORSCHE MACAN TURBO,SUV - SMALL,3.6,6,Z,14.2,10.1,12.3,23,283
PORSCHE,PORSCHE PANAMERA,FULL-SIZE,3.6,6,Z,12.9,8.4,10.9,26,251
PORSCHE,PORSCHE PANAMERA 4,FULL-SIZE,3.6,6,Z,13.1,8.7,11.1,25,255
PORSCHE,PORSCHE PANAMERA 4S,FULL-SIZE,3,6,Z,13.4,8.8,11.4,25,262
PORSCHE,PORSCHE PANAMERA 4S EXECUTIVE,FULL-SIZE,3,6,Z,13.7,8.9,11.5,25,264
PORSCHE,PORSCHE PANAMERA GTS,FULL-SIZE,4.8,8,Z,15.1,9.7,12.7,22,292
PORSCHE,PORSCHE PANAMERA S,FULL-SIZE,3,6,Z,13.4,8.8,11.4,25,262
PORSCHE,PORSCHE PANAMERA TURBO,FULL-SIZE,4.8,8,Z,15.3,9.7,12.8,22,294
PORSCHE,PORSCHE PANAMERA TURBO EXECUTIVE,FULL-SIZE,4.8,8,Z,15.4,9.8,12.9,22,297
PORSCHE,PORSCHE PANAMERA TURBO S,FULL-SIZE,4.8,8,Z,15.3,9.7,12.8,22,294
PORSCHE,PORSCHE PANAMERA TURBO S EXECUTIVE,FULL-SIZE,4.8,8,Z,15.4,9.8,12.9,22,297
RAM,RAM 1500,PICKUP TRUCK - STANDARD,3.6,6,X,13.9,9.5,11.9,24,274
RAM,RAM 1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,X,13.9,9.5,11.9,24,274
RAM,RAM 1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,E,19.4,13.6,16.8,17,269
RAM,RAM 1500 HFE,PICKUP TRUCK - STANDARD,3.6,6,X,12.9,9.3,11.3,25,260
RAM,RAM 1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,X,17.1,12,14.8,19,340
RAM,RAM 1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,X,15.7,10.9,13.6,21,313
RAM,RAM 1500 ECODIESEL,PICKUP TRUCK - STANDARD,3,6,D,11.5,8.4,10.1,28,273
RAM,RAM 1500 ECODIESEL HFE,PICKUP TRUCK - STANDARD,3,6,D,11.3,8,9.8,29,265
RAM,RAM 1500 4X4,PICKUP TRUCK - STANDARD,3.6,6,X,14.6,10.1,12.6,22,290
RAM,RAM 1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,X,14.6,10.1,12.6,22,290
RAM,RAM 1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,E,20.5,14.5,17.8,16,285
RAM,RAM 1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,X,17.7,12.7,15.4,18,354
RAM,RAM 1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,X,16.2,11.5,14.1,20,324
RAM,RAM 1500 4X4 ECODIESEL,PICKUP TRUCK - STANDARD,3,6,D,12.1,8.8,10.6,27,286
RAM,RAM CARGO VAN FFV,MINIVAN,3.6,6,X,13.3,9.1,11.4,25,262
RAM,RAM CARGO VAN FFV,MINIVAN,3.6,6,E,18.6,12.7,15.9,18,254
RAM,RAM PROMASTER CITY,SPECIAL PURPOSE VEHICLE,2.4,4,X,11.2,8.1,9.8,29,225
ROLLS-ROYCE,ROLLS-ROYCE GHOST,FULL-SIZE,6.6,12,Z,19.2,12.4,16.1,18,370
ROLLS-ROYCE,ROLLS-ROYCE GHOST EWB,FULL-SIZE,6.6,12,Z,19.2,12.4,16.1,18,370
ROLLS-ROYCE,ROLLS-ROYCE PHANTOM,FULL-SIZE,6.7,12,Z,20.9,12.7,17.2,16,396
ROLLS-ROYCE,ROLLS-ROYCE PHANTOM EWB,FULL-SIZE,6.7,12,Z,20.7,12.9,17.2,16,396
ROLLS-ROYCE,ROLLS-ROYCE PHANTOM COUPE,COMPACT,6.7,12,Z,20.9,12.7,17.2,16,396
ROLLS-ROYCE,ROLLS-ROYCE PHANTOM DROPHEAD COUPE,COMPACT,6.7,12,Z,20.7,12.9,17.2,16,396
ROLLS-ROYCE,ROLLS-ROYCE WRAITH,MID-SIZE,6.6,12,Z,18.7,11.8,15.6,18,359
SCION,SCION FR-S,MINICOMPACT,2,4,Z,9.6,7,8.4,34,193
SCION,SCION FR-S,MINICOMPACT,2,4,Z,10.9,7.9,9.6,29,221
SCION,SCION iQ,MINICOMPACT,1.3,4,X,6.5,6.3,6.4,44,147
SCION,SCION tC,COMPACT,2.5,4,X,10.2,7.6,9,31,207
SCION,SCION tC,COMPACT,2.5,4,X,10.2,7.7,9,31,207
SCION,SCION xB,STATION WAGON - SMALL,2.4,4,X,10.9,8.5,9.8,29,225
SCION,SCION xB,STATION WAGON - SMALL,2.4,4,X,10.8,8.5,9.8,29,225
SMART,SMART FORTWO CABRIOLET,TWO-SEATER,1,3,Z,6.8,6.2,6.5,43,150
SMART,SMART FORTWO COUPE,TWO-SEATER,1,3,Z,6.8,6.2,6.5,43,150
SUBARU,SUBARU BRZ,MINICOMPACT,2,4,Z,9.6,7,8.4,34,193
SUBARU,SUBARU BRZ,MINICOMPACT,2,4,Z,10.9,7.9,9.6,29,221
SUBARU,SUBARU FORESTER AWD,SUV - SMALL,2,4,Z,10.2,8.5,9.4,30,216
SUBARU,SUBARU FORESTER AWD,SUV - SMALL,2.5,4,X,9.6,7.5,8.7,32,200
SUBARU,SUBARU FORESTER AWD,SUV - SMALL,2.5,4,X,10.6,8.4,9.6,29,221
SUBARU,SUBARU IMPREZA AWD,COMPACT,2,4,X,8.5,6.4,7.6,37,175
SUBARU,SUBARU IMPREZA AWD,COMPACT,2,4,X,9.5,7,8.4,34,193
SUBARU,SUBARU IMPREZA WAGON AWD,STATION WAGON - SMALL,2,4,X,8.5,6.4,7.6,37,175
SUBARU,SUBARU IMPREZA WAGON AWD,STATION WAGON - SMALL,2,4,X,9.5,7,8.4,34,193
SUBARU,SUBARU LEGACY AWD,MID-SIZE,2.5,4,X,9,6.5,7.9,36,182
SUBARU,SUBARU LEGACY AWD,MID-SIZE,2.5,4,X,10.7,7.8,9.4,30,216
SUBARU,SUBARU LEGACY AWD,MID-SIZE,3.6,6,X,11.9,8.2,10.2,28,235
SUBARU,SUBARU OUTBACK AWD,SUV - SMALL,2.5,4,X,9.3,7.1,8.3,34,191
SUBARU,SUBARU OUTBACK AWD,SUV - SMALL,2.5,4,X,11,8.2,9.7,29,223
SUBARU,SUBARU OUTBACK AWD,SUV - SMALL,3.6,6,X,12,8.6,10.5,27,242
SUBARU,SUBARU WRX,COMPACT,2,4,Z,12.4,9.4,11.1,25,255
SUBARU,SUBARU WRX,COMPACT,2,4,Z,11.1,8.3,9.8,29,225
SUBARU,SUBARU WRX,COMPACT,2.5,4,Z,13.8,10.2,12.2,23,281
SUBARU,SUBARU XV CROSSTREK AWD,SUV - SMALL,2,4,X,9.1,7,8.1,35,186
SUBARU,SUBARU XV CROSSTREK AWD,SUV - SMALL,2,4,X,10.2,7.7,9.1,31,209
SUBARU,SUBARU XV CROSSTREK HYBRID AWD,SUV - SMALL,2,4,X,7.9,6.9,7.5,38,173
TOYOTA,TOYOTA 4RUNNER 4WD,SUV - STANDARD,4,6,X,14.2,11.1,12.8,22,294
TOYOTA,TOYOTA 4RUNNER 4WD (Part-Time 4WD),SUV - STANDARD,4,6,X,14.2,11.1,12.8,22,294
TOYOTA,TOYOTA AVALON,MID-SIZE,3.5,6,X,11.3,7.5,9.6,29,221
TOYOTA,TOYOTA CAMRY,MID-SIZE,2.5,4,X,9.7,6.9,8.4,34,193
TOYOTA,TOYOTA CAMRY,MID-SIZE,3.5,6,X,11,7.7,9.5,30,218
TOYOTA,TOYOTA CAMRY HYBRID LE,MID-SIZE,2.5,4,X,5.5,6,5.7,50,131
TOYOTA,TOYOTA CAMRY HYBRID XLE/SE,MID-SIZE,2.5,4,X,5.7,6.1,5.9,48,136
TOYOTA,TOYOTA COROLLA,MID-SIZE,1.8,4,X,8.6,6.5,7.6,37,175
TOYOTA,TOYOTA COROLLA,MID-SIZE,1.8,4,X,7.9,6.1,7.1,40,163
TOYOTA,TOYOTA COROLLA,MID-SIZE,1.8,4,X,8.2,6.2,7.3,39,168
TOYOTA,TOYOTA COROLLA,MID-SIZE,1.8,4,X,8.3,6.2,7.4,38,170
TOYOTA,TOYOTA COROLLA LE ECO (1-mode),MID-SIZE,1.8,4,X,7.7,5.6,6.8,42,156
TOYOTA,TOYOTA COROLLA LE ECO (2-mode),MID-SIZE,1.8,4,X,7.7,6,6.9,41,159
TOYOTA,TOYOTA HIGHLANDER,SUV - SMALL,2.7,4,X,11.7,9.5,10.7,26,246
TOYOTA,TOYOTA HIGHLANDER,SUV - SMALL,3.5,6,X,12.5,9.3,11.1,25,255
TOYOTA,TOYOTA HIGHLANDER AWD,SUV - STANDARD,3.5,6,X,13,9.8,11.6,24,267
TOYOTA,TOYOTA HIGHLANDER HYBRID AWD,SUV - STANDARD,3.5,6,X,8.6,8.5,8.5,33,196
TOYOTA,TOYOTA HIGHLANDER HYBRID AWD LE,SUV - STANDARD,3.5,6,X,8.4,8.3,8.4,34,193
